,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2053,          0.005,          0.004,          0.004,          0.005,          0.005,          0.004,          0.005,          0.005,          0.005,          0.005,          0.005,          0.005,               ,               ,          0.005,          0.005,          0.005,          0.005,          0.005,          0.005
 2054,          0.005,          0.004,          0.004,          0.004,          0.004,          0.004,          0.005,          0.005,          0.005,          0.005,          0.005,          0.005,               ,               ,          0.005,          0.005,          0.005,          0.005,          0.005,          0.005
 2055,          0.005,          0.004,          0.004,          0.004,          0.004,          0.004,          0.005,          0.005,          0.005,          0.005,          0.005,          0.004,               ,               ,          0.005,          0.005,          0.005,          0.005,          0.005,          0.004
 2056,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,          0.005,          0.004,          0.004,          0.004,          0.004,          0.004,               ,               ,          0.005,          0.004,          0.004,          0.004,          0.004,          0.004
 2057,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004,               ,               ,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004
 2058,          0.004,          0.003,          0.004,          0.004,          0.004,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004,               ,               ,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004
 2059,          0.004,          0.003,          0.003,          0.003,          0.004,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004,               ,               ,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004
 2060,          0.004,          0.003,          0.003,          0.003,          0.003,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,               ,               ,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004
 2061,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,          0.004,          0.003,          0.004,          0.003,          0.003,          0.003,               ,               ,          0.004,          0.003,          0.004,          0.003,          0.003,          0.003
 2062,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,          0.004,          0.003,          0.003,          0.003,          0.003,          0.003,               ,               ,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003
