,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2052,          80.74,          99.95,          99.95,          81.55,          81.27,          99.99,          74.51,          80.27,          79.78,          81.19,          81.63,          86.26,               ,               ,          80.40,          80.72,          80.70,          80.77,          80.79,          81.00
 2053,          81.42,          99.94,          99.94,          82.22,          81.95,          99.99,          75.26,          80.95,          80.47,          81.86,          82.28,          86.80,               ,               ,          81.06,          81.39,          81.37,          81.44,          81.46,          81.68
 2054,          82.09,          99.94,          99.93,          82.91,          82.63,          99.99,          76.03,          81.64,          81.16,          82.53,          82.94,          87.32,               ,               ,          81.72,          82.07,          82.04,          82.12,          82.14,          82.36
 2055,          82.77,          99.93,          99.93,          83.58,          83.31,          99.99,          76.81,          82.33,          81.86,          83.19,          83.60,          87.85,               ,               ,          82.39,          82.75,          82.72,          82.79,          82.81,          83.03
 2056,          83.44,          99.92,          99.92,          84.26,          83.99,          99.99,          77.60,          83.01,          82.55,          83.86,          84.25,          88.37,               ,               ,          83.07,          83.42,          83.39,          83.46,          83.49,          83.71
 2057,          84.11,          99.92,          99.91,          84.94,          84.67,          99.99,          78.40,          83.69,          83.24,          84.52,          84.91,          88.88,               ,               ,          83.74,          84.09,          84.06,          84.14,          84.16,          84.38
 2058,          84.78,          99.91,          99.91,          85.60,          85.34,          99.91,          79.19,          84.37,          83.94,          85.18,          85.56,          89.37,               ,               ,          84.41,          84.76,          84.74,          84.81,          84.83,          85.04
 2059,          85.45,          99.90,          99.90,          86.24,          85.99,          99.91,          79.99,          85.05,          84.63,          85.83,          86.20,          89.86,               ,               ,          85.08,          85.42,          85.40,          85.47,          85.49,          85.70
 2060,          86.10,          99.90,          99.88,          86.89,          86.64,          99.90,          80.79,          85.71,          85.30,          86.47,          86.82,          90.34,               ,               ,          85.75,          86.08,          86.06,          86.12,          86.14,          86.35
 2061,          86.74,          99.89,          99.88,          87.53,          87.28,          99.90,          81.58,          86.37,          85.97,          87.10,          87.44,          90.82,               ,               ,          86.40,          86.72,          86.70,          86.76,          86.78,          86.99
